case_no,promise_id,refund_txn_id,crm_order_id,gateway_order_id,label,promised_amount,true_refunded_amount,promise_date,window_end_days,refund_processed_date
17,PRM-200017,rtxn_300017,ORD100017,order_100017,delayed,12999.99,12999.99,2026-08-15,10,2026-09-05
18,PRM-200018,rtxn_300018,ORD100018,order_100018,partial,5999.00,5819.03,2026-08-03,9,2026-08-10
19,PRM-200019,rtxn_300019,ORD100019,order_100019,clean_match,2499.00,2499.00,2026-08-03,7,2026-08-07
20,PRM-200020,rtxn_300020,ORD100020,order_100020,clean_match,4999.00,4999.00,2026-07-03,6,2026-07-06
21,PRM-200021,rtxn_300021,ORD100021,order_100021,clean_match,4999.50,4999.50,2026-08-02,11,2026-08-12
22,PRM-200022,rtxn_300022,ORD100022,order_100022,clean_match,5000.00,5000.00,2026-07-09,7,2026-07-13
23,PRM-200023,rtxn_300023,ORD100023,order_100023,clean_match,199.00,199.00,2026-06-22,7,2026-06-23
24,PRM-200024,rtxn_300024,ORD100024,order_100024,partial,2500.00,2425.00,2026-07-22,7,2026-07-24
25,PRM-200025,rtxn_300025,ORD100025,order_100025,delayed,199.00,199.00,2026-07-25,7,2026-08-16
26,PRM-200026,,ORD100026,order_100026,no_refund,14999.50,,2026-07-12,7,
27,PRM-200027,rtxn_300027,ORD100027,order_100027,clean_match,999.00,999.00,2026-07-28,6,2026-08-01
28,PRM-200028,rtxn_300028,ORD100028,order_100028,clean_match,199.00,199.00,2026-06-24,8,2026-06-30
29,PRM-200029,,ORD100029,order_100029,no_refund,8000.00,,2026-07-31,6,
30,PRM-200030,rtxn_300030,ORD100030,order_100030,clean_match,7999.00,7999.00,2026-07-06,6,2026-07-12
31,PRM-200031,,ORD100031,order_100031,no_refund,500.00,,2026-07-16,5,
32,PRM-200032,rtxn_300032,ORD100032,order_100032,clean_match,1499.99,1499.99,2026-08-02,11,2026-08-07
33,PRM-200033,rtxn_300033,ORD100033,order_100033,delayed,799.99,799.99,2026-06-09,6,2026-06-29
34,PRM-200034,rtxn_300034,ORD100034,order_100034,clean_match,9999.00,9999.00,2026-07-13,11,2026-07-17
35,PRM-200035,rtxn_300035,ORD100035,order_100035,clean_match,12999.99,12999.99,2026-06-29,11,2026-07-08
36,PRM-200036,,ORD100036,order_100036,no_refund,1999.00,,2026-06-25,7,
37,PRM-200037,rtxn_300037,ORD100037,order_100037,clean_match,3500.00,3500.00,2026-06-17,10,2026-06-21
38,PRM-200038,rtxn_300038,ORD100038,order_100038,partial,4999.00,4849.03,2026-07-24,11,2026-07-25
39,PRM-200039,rtxn_300039,ORD100039,order_100039,clean_match,999.00,999.00,2026-06-07,5,2026-06-09
40,PRM-200040,rtxn_300040,ORD100040,order_100040,delayed,299.00,299.00,2026-08-08,7,2026-09-01
41,PRM-200041,rtxn_300041,ORD100041,order_100041,clean_match,7999.50,7999.50,2026-06-23,8,2026-06-25
42,PRM-200042,rtxn_300042,ORD100042,order_100042,clean_match,1499.00,1499.00,2026-06-17,8,2026-06-20
43,PRM-200043,rtxn_300043,ORD100043,order_100043,delayed,2999.00,2999.00,2026-07-26,5,2026-08-12
44,PRM-200044,rtxn_300044,ORD100044,order_100044,partial,299.50,290.52,2026-07-15,10,2026-07-25
45,PRM-200045,rtxn_300045,ORD100045,order_100045,clean_match,10000.00,10000.00,2026-06-17,7,2026-06-21
46,PRM-200046,,ORD100046,order_100046,no_refund,499.00,,2026-08-02,8,
47,PRM-200047,rtxn_300047,ORD100047,order_100047,clean_match,1999.00,1999.00,2026-07-11,9,2026-07-13
48,PRM-200048,rtxn_300048,ORD100048,order_100048,delayed,12999.00,12999.00,2026-06-14,9,2026-07-05
49,PRM-200049,rtxn_300049,ORD100049,order_100049,clean_match,2999.50,2999.50,2026-07-13,9,2026-07-19
50,PRM-200050,rtxn_300050,ORD100050,order_100050,clean_match,2000.00,2000.00,2026-06-28,7,2026-07-03
51,PRM-200051,rtxn_300051,ORD100051,order_100051,clean_match,4999.00,4999.00,2026-06-10,7,2026-06-17
52,PRM-200052,rtxn_300052,ORD100052,order_100052,clean_match,7999.00,7999.00,2026-06-15,11,2026-06-20
53,PRM-200053,rtxn_300053,ORD100053,order_100053,clean_match,199.00,199.00,2026-07-10,7,2026-07-15
54,PRM-200054,rtxn_300054,ORD100054,order_100054,clean_match,999.00,999.00,2026-07-15,9,2026-07-23
55,PRM-200055,,ORD100055,order_100055,no_refund,3499.00,,2026-08-03,8,
56,PRM-200056,rtxn_300056,ORD100056,order_100056,partial,3499.00,3394.03,2026-07-19,10,2026-07-21
57,PRM-200057,rtxn_300057,ORD100057,order_100057,clean_match,3499.00,3499.00,2026-07-25,10,2026-07-27
58,PRM-200058,,ORD100058,order_100058,no_refund,999.00,,2026-06-27,11,
59,PRM-200059,rtxn_300059,ORD100059,order_100059,clean_match,2499.50,2499.50,2026-07-06,7,2026-07-10
60,PRM-200060,,ORD100060,order_100060,no_refund,799.00,,2026-07-30,7,
61,PRM-200061,rtxn_300061,ORD100061,order_100061,clean_match,5999.00,5999.00,2026-07-17,8,2026-07-21
62,PRM-200062,rtxn_300062,ORD100062,order_100062,clean_match,199.00,199.00,2026-07-31,7,2026-08-05
63,PRM-200063,rtxn_300063,ORD100063,order_100063,partial,2999.00,2909.03,2026-08-13,7,2026-08-19
64,PRM-200064,rtxn_300064,ORD100064,order_100064,clean_match,499.50,499.50,2026-06-12,8,2026-06-14
65,PRM-200065,rtxn_300065,ORD100065,order_100065,clean_match,15000.00,15000.00,2026-08-06,7,2026-08-13
